id,severity,title,description,iacontrols,ruleid,fixid,fixtext,checkid,checktext
V-69477,medium,The applications must use internal system clocks to generate time stamps for audit records.,"Without an internal clock used as the reference for the time stored on each event to provide a trusted common reference for the time, forensic analysis would be impeded. Determining the correct time a particular event occurred on a system is critical when conducting forensic analysis and investigating system events.

If the internal clock is not used, the system may not be able to provide time stamps for log messages. Additionally, externally generated time stamps may not be accurate. Applications can use the capability of an operating system or purpose-built module for this purpose.",None,SV-84099r1_rule,F-75653r1_fix,Configure the application to use the hosting systems internal clock for audit record generation.,C-69895r1_chk,"Review the system documentation and interview the application administrator for details regarding application architecture and logging configuration.

Identify the application components and the logs associated with the components.

Ensure the time written into the logs coincides with the OS timeclock.

Access random audit records and review the most recent logs.
 
Access the system OS hosting the application and use the related OS commands to determine the time of the system.

Perform an action in the application that causes a log event to be written and review the log to ensure the system times and the application log times correlate; compensating for any time delays that may have occurred between running the OS time command and running the application action.

If the application doesn't use the internal system clocks to generate time stamps for the audit event logs, this is a finding."
V-22031,medium,"The designer shall ensure messages are encrypted when the SessionIndex is tied to privacy data.
","When the SessionIndex is tied to privacy data (e.g., attributes containing privacy data) the message should be encrypted. If the message is not encrypted there is the possibility of compromise of privacy data.",['ECNK-1'],SV-25357r1_rule,F-23095r1_fix,"Encrypt messages when the SessionIndex is tied to privacy data.
",C-27029r1_chk,"Examine the contents of a SOAP message using a SessionIndex in the SAML element AuthnStatement. Verify the information which is tied to the SessionIndex.

If the SessionIndex is tied to privacy information, and it is not encrypted, it is a finding."
V-27144,medium,Applications that serve to protect organizations and individuals from SPAM messages must incorporate update mechanisms updating protection mechanisms and signature updates when new application releases are available in accordance with organizational configuration management policy and procedures.,"Senders of SPAM messages are continually modifying their tactics and source email addresses in order to elude protection mechanisms. To stay up-to-date with the changing threat and to identify SPAM messages, it is critical that SPAM protection mechanisms are kept current.",None,SV-34443r1_rule,None,None,None,None
V-16835,medium,"The IAO will ensure at least one application administrator has registered to receive update notifications, or security alerts, when automated alerts are available.
","Administrators should register for updates to all COTS and custom developed software, so when security flaws are identified, they can be tracked for testing and updates of the application can be applied.
",['DCCT-1'],SV-17835r1_rule,F-17153r1_fix,"Register administrator to receive updates.
",C-17841r1_chk,"Review the components of the application. Deployment personnel should be registered to receive updates to all components of the application, such as Web Server, Application Servers, and Database Servers.  Also, if update notifications are provided to any custom developed software, deployment personnel should also register for these updates. Ask the application representative to demonstrate deployment personnel are registered to receive notifications for updates to all the application components including and custom developed software.
 
1) If the application provides automated alerts for update notifications, and no deployment personnel are registered to receive the alerts, it is a finding."
V-35317,medium,The application server must store only encrypted representations of passwords.,"Applications must enforce password encryption when storing passwords. Passwords need to be protected at all times and encryption is the standard method for protecting passwords. If passwords are not encrypted, they can be plainly read and easily compromised. 

Application servers provide either a local user store or they integrate with enterprise user stores like LDAP. When the application server is responsible for creating or storing passwords, the application server must enforce the storage of encrypted representations of passwords.",None,SV-46604r3_rule,F-39863r2_fix,Configure the application server to only store encrypted representations of passwords.,C-43687r2_chk,"Review application server documentation and configuration to determine if the application server enforces the requirement to only store encrypted representations of passwords.

If the application server is not configured to meet this requirement, this is a finding."
V-26888,medium,The application must protect against an individual falsely denying having performed a particular action.,"Non-repudiation of actions taken is required in order to maintain application integrity. Examples of particular actions taken by individuals include creating information, sending a message, approving information (e.g., indicating concurrence or signing a contract), and receiving a message. 

Non-repudiation protects individuals against later claims by an author of not having authored a particular document, a sender of not having transmitted a message, a receiver of not having received a message, or a signatory of not having signed a document.  ",None,SV-34168r1_rule,None,None,None,None
V-47163,medium,The release manager must ensure application files are cryptographically hashed prior to deploying to DoD operational networks.,"When application code and binaries are transferred from one environment to another, there is the potential for malware to be introduced into either the application code or even the application binaries themselves.  Care must be taken to ensure that application code and binaries are validated for integrity prior to deployment into a production environment.   

To ensure file integrity, application files and/or application packages are cryptographically hashed using a strong hashing algorithm.  Comparing hashes after transferring the files makes it possible to detect changes in files that could indicate potential integrity issues with the application.

Currently, SHA256 is the DoD approved standard for cryptographic hash functions.   DoD application developers must use SHA256 when creating cryptographic hashes, however, some non-DoD vendors might still use MD5 or SHA1 when generating a checksum hash for their application packages.  It is important to use the same algorithms when validating the hash.  If a non DoD vendor uses SHA1 when hashing their files, you must use SHA1 to validate the hash.  Otherwise, the hashes will not match and a false positive indication of tampering will result.

Prior to release of the application receiving an ATO/IATO for deployment into a DoD operational network, the application must be validated for integrity to ensure no tampering of source code or binaries has occurred.  Failure to validate the integrity of application code and/or application binaries prior to deploying an application into a production environment may compromise the operational network.",['DCSQ-1'],SV-60029r1_rule,F-50871r1_fix,"1. Developers/release managers create cryptographic hash values of application files and/or application packages prior to transitioning the application from test to a production environment.  They protect cryptographic hash information so it cannot be altered and make a read copy of the hash information available to application Admins so they can validate application packages and files after they download the files.

2. Application Admins validate cryptographic hashes prior to deploying the application to production.
",C-49993r1_chk,"Ask the application representative to demonstrate their cryptographic hash validation process or provide process documentation.  The validation process will vary based upon the operating system used as there are numerous clients available that will display a file's cryptographic hash for validation purposes.  

Linux operating systems include the ""sha256sum"" utility. For Linux systems using sha256sum command syntax is:  sha256sum [OPTION]... [FILE]...

Windows does not natively provide a SHA256 checksum validation tool; however, there are utilities available that provide this capability. 

A validation process involves obtaining the application files’ cryptographic hash value from the programs author or other authoritative source such as the application's web site.  A utility like the ""sha256sum"" utility is then run using the downloaded application file name as the argument.  The output is the files' hash value.  The two hash values are compared and if they match, then file integrity is ensured.

If the application being reviewed is a COTS product and the vendor used a SHA1 or MD5 algorithm to generate a hash value, this is not a finding.

If the application being reviewed is a COTS product and the vendor did not provide a hash value for validating the package, this is not a finding.

If the integrity of the application files/code is not validated prior to deployment to DoD operational networks, this is a finding.
"
V-16787,high,"The designer will ensure the application follows the secure failure design principle.
","The secure design principle ensures the application follows a secure predictable path in the application code. If all possible code paths are not accounted for, the application may allow access to unauthorized users. Applications should perform checks on the validity of data, user permissions, and resource existence before performing a function. Secure failure is defined if a check fails for any reason, the application remains in a secure state.
",['DCSQ-1'],SV-17787r1_rule,F-16995r1_fix,"Design and code the application so the secure design principle is followed.
",C-17772r1_chk,"Ask the application representative for code review results from the entire application or the documented code review process. 

If the application is a COTS/GOTS product or is composed of only COTS/GOTS products with no custom code, this check does not apply unless the application is being reviewed by or in conjunction with the COTS/GOTS vendor in which case this check is applicable.

If the results are provided from a manual code review, the application representative will need to demonstrate how secure design principle vulnerabilities are identified during code reviews. 
 
1) If the results are not provided or the application representative cannot demonstrate how manual code reviews are performed to identify secure design principle vulnerabilities, this is a CAT I finding.
 
2) If code analysis tools are used to perform a code review and errors have not been fixed, this is a CAT II finding.  "
V-35191,medium,The application server must be configured to fail over to another system in the event of log subsystem failure.,"This requirement is dependent upon system MAC and availability.  If the system MAC and availability do not specify redundancy requirements, this requirement is NA.

It is critical that, when a system is at risk of failing to process logs as required, it detects and takes action to mitigate the failure.
 
Application servers must be capable of failing over to another system which can handle application and logging functions upon detection of an application log processing failure. This will allow continual operation of the application and logging functions while minimizing the loss of operation for the users and loss of log data.",None,SV-46478r3_rule,F-39737r5_fix,"If the system MAC level and availability do not require redundancy, this requirement is NA.

Configure the application server to fail over to another system which can handle log functions when the logging subsystem fails.",C-43569r7_chk,"If the system MAC level and availability do not require redundancy, this requirement is NA.

Review the system's accreditation documentation to determine system MAC and confidentiality requirements.  Review application server configuration settings to determine if the application server is configured to fail over operation to another system when the log subsystem fails to operate.

If the system MAC level requires redundancy and the application server is not configured to fail over to another system which can handle application and log functions when a log subsystem failure occurs, this is a finding."
V-26958,medium,Configuration management applications must employ automated mechanisms to centrally respond to unauthorized changes to configuration settings. ,"Configuration settings are the configurable security-related parameters of information technology products that are part of the information system. 

Security-related parameters are those parameters impacting the security state of the system, including parameters related to meeting other security control requirements. 

Security-related parameters include:  registry settings; account, file, and directory settings (i.e., permissions); and settings for services, ports, protocols, and remote connections.  

Responses to unauthorized changes to configuration settings can include:  alerting designated organizational personnel, restoring mandatory/organization-defined configuration settings, or in the extreme case, halting affected information system processing.  

Centrally respond means to respond to unauthorized changes to settings have taken effect from a centralized location.  In order to accommodate large scale environments, centralized solutions may also employ distributed systems used as configuration management proxies.  This is allowable as long as these systems are centrally managed and controlled as part of the overall configuration management solution.",None,SV-34243r1_rule,None,None,None,None
V-30583,medium,The application must notify appropriate individuals when accounts are terminated.,"When application accounts are terminated, user accessibility is affected.  Accounts are utilized for identifying individual application users or for identifying the application processes themselves. 

In order to detect and respond to events that affect user accessibility and application processing, applications must notify the appropriate individuals when an account is terminated so they can investigate the event.  Such a capability greatly reduces the risk that application accessibility will be negatively affected for extended periods of time and provides logging that can be used for forensic purposes. 

To address the multitude of policy based audit requirements, and to ease the burden of meeting these requirements, many application developers choose to integrate their applications with enterprise level authentication/access/audit mechanisms that meet or exceed access control policy requirements. Examples include but are not limited to Active Directory and LDAP.

The application must automatically notify the appropriate individuals when accounts are terminated.",None,SV-40323r1_rule,None,None,None,None
V-16845,medium,"The IAO will ensure procedures are in place to assure the appropriate physical and technical protection of the backup and restoration of the application.
",Protection of backup and restoration assets is essential for the successful restore of operations after a catastrophic failure or damage to the system or data files. Failure to follow proper procedures may result in the permanent loss of system data and/or the loss of system capability resulting in failure of the customers mission.,['COBR-1'],SV-17845r1_rule,F-17167r1_fix,"Develop and implement procedures to insure that backup and restoral assets are properly protected and stored in an
area/location where it is unlike they would be affected by an event that would affect the primary assets.",C-17856r1_chk,"Validate that backup and recovery procedures incorporate protection of the backup and restoration assets.
 
Verify assets housing the backup data (e.g., SANS, tapes, backup directories, software) and the assets used for restoration (e.g., equipment and system software) are included in the backup and recovery procedures.  

 1) If backup and restoration devices are not included in the recovery procedures, it is a finding.
"
V-16779,medium,"The Program Manager and designer will ensure the application is registered with the DoD Ports and Protocols Database.

","Failure to register the  applications usage of ports, protocols, and services with the DoD PPS Database may result in a Denial of Service (DoS) because of enclave boundary protections at other end points within the network.",['DCPP-1'],SV-17779r1_rule,F-16978r1_fix,"Register the application and ports in the Ports and Protocols Database.

",C-17756r1_chk,"Verify registration of the application and ports in the Ports and Protocols Database for a production site.

1) If the application requires registration, and is not registered or all ports used have not been identified in the database this is a finding. "
V-57521,medium,The application server must conform to FICAM-issued profiles.,"Without conforming to FICAM-issued profiles, the information system may not be interoperable with FICAM-authentication protocols, such as SAML 2.0 and OpenID 2.0.

This requirement addresses open identity management standards.",None,SV-71797r2_rule,F-62589r1_fix,Configure the application server to conform to FICAM-issued profiles.,C-58229r1_chk,"Review the application server documentation and configuration to determine if the application server conforms to FICAM-issued profiles.

If the application server does not conform to FICAM-issued profiles, this is a finding."
V-16810,high,"The designer will ensure the application does not allow command injection.
","A command injection attack, is an attack on a vulnerable application where improperly validated input is passed to a command shell setup in the application. A command injection allows an attacker to execute their own commands with the same privileges as the application executing. Command injection allows immediate access to the system where the application is executing.
",['DCSQ-1'],SV-17810r1_rule,F-17103r1_fix,"Modify the application to protect against command injection attacks.
",C-17808r1_chk,"Ask the application representative for code review or scan results from the entire application.  This can be provided as results from an automated code review or a vulnerability scanning tool.  See section 5.4 of the Application Security and Development STIG for additional details.

If the results are provided from a manual code review, the application representative will need to demonstrate how command injection vulnerabilities are identified during code reviews. 
 
1) If the results are not provided or the application representative cannot demonstrate how manual code reviews are performed to identify command injection vulnerabilities, it is a finding.

Examples of Command Injection vulnerabilities can be obtained from the OWASP website.
 
*Note: Web services are subject to the same coding practices of other web application code (e.g., command injection)."
V-27143,medium,"The organization must employ malicious code protection mechanisms at workstations, servers, or mobile computing devices on the network to detect and take action on unsolicited messages transported by electronic mail, electronic mail attachments, and web accesses.
","Senders of SPAM messages are continually modifying their tactics and source email addresses in order to elude protection mechanisms. To stay up-to-date with the changing threat and to identify SPAM messages, it is critical that SPAM protection mechanisms are kept current.

Unsolicited email messages otherwise known as SPAM are known to be one of the primary vectors for the propagation of many types of attacks including phishing attacks. SPAM and malware protection techniques include examining email messages, files, and web traffic at border gateways or proxies to determine if the traffic contains SPAM or some other type of malware.

This is a requirement to utilize SPAM prevention and anti-virus/malware software on workstations, servers, and laptops. This requirement does not apply to applications. ",None,SV-34442r1_rule,None,None,None,None
V-35301,medium,The application server must use multifactor authentication for local access to privileged accounts.,"Multifactor authentication creates a layered defense and makes it more difficult for an unauthorized person to access the application server.  If one factor is compromised or broken, the attacker still has at least one more barrier to breach before successfully breaking into the target.  Unlike a simple username/password scenario where the attacker could gain access by knowing both the username and password without the user knowing his account was compromised, multifactor authentication adds the requirement that the attacker must have something from the user, such as a token, or to biometrically be the user.

Multifactor authentication is defined as: using two or more factors to achieve authentication. 

Factors include: 
(i) something a user knows (e.g., password/PIN); 
(ii) something a user has (e.g., cryptographic identification device, token); or 
(iii) something a user is (e.g., biometric). A CAC or PKI Hardware Token meets this definition.

A privileged account is defined as an information system account with authorizations of a privileged user.  These accounts would be capable of accessing the command line management interface.

When accessing the application server via a local connection, administrative access to the application server must be PKI hardware token enabled.",None,SV-46588r3_rule,F-39847r3_fix,Configure the application server to authenticate privileged users via multifactor authentication for local access to the management interface.,C-43670r2_chk,"Review the application server configuration to ensure the system is authenticating via multifactor authentication for privileged users.

If all aspects of application server command line management interfaces are not authenticating privileged users via multifactor authentication methods, this is a finding."
V-27160,medium,The application must protect audit information from unauthorized deletion.,"If audit data were to become compromised then competent forensic analysis and discovery of the true source of potentially malicious system activity is impossible to achieve. 

To ensure the veracity of audit data the information system and/or the application must protect audit information from unauthorized deletion.  This requirement can be achieved through multiple methods which will depend upon system architecture and design.  

Some commonly employed methods include:  ensuring log files enjoy the proper file system permissions utilizing file system protections; restricting access and backing up log data to ensure log data is retained.  

Applications providing a user interface to audit data will leverage user permissions and roles identifying the user accessing the data and the corresponding rights the user enjoys in order make access decisions regarding the deletion of audit data.

Audit information includes all information (e.g., audit records, audit settings, and audit reports) needed to successfully audit information system activity. ",None,SV-34459r1_rule,None,None,None,None
V-16776,medium,The Program Manager will ensure the development team follows a set of coding standards.,"Implementing coding standards provides many benefits to the development process.  These benefits include readability, consistency, and ease of integration.  

Code conforming to a standard format is easier to read, especially if someone other than the original developer is examining the code.  In addition, formatted code can be debugged and corrected faster than unformatted code.

Introducing coding standards can help increase the consistency, reliability, and security of the application by ensuring common programming structures and tasks are handled by similar methods, as well as, reducing the occurrence of common logic errors.

Coding standards also allow developers to quickly adapt to code which has been developed by various members of a development team.  Coding standards are useful in the code review process as well as in situations where a team member leaves and duties must then be assigned to another team member.  Coding standards often cover the use of white space characters, variable naming conventions, function naming conventions, and comment styles.  
",['DCSQ-1'],SV-17776r1_rule,F-16973r1_fix,Adopt and document coding standards.,C-17752r1_chk,"The Program Manager will ensure the development team follows a set of coding standards. The Program Manager will ensure the development team creates a list of unsafe functions to avoid and document this list in the coding standards. 

The Designer will follow the established coding standards established for the project.

The Designer will not use unsafe functions documented in the project coding standards.

If the application is a COTS/GOTS product or is composed of only COTS/GOTS products with no custom code, this check does not apply unless the application is being reviewed by or in conjunction with the COTS/GOTS vendor in which case this check is applicable.
 
Interview the application representative to determine if a documented set of coding standards exists. Ask the application representative to demonstrate coding standards are being followed by reviewing a sample of code. Also, check the coding standards for a list of unsafe functions or section documenting there are no unsafe functions.
 
1) If no coding standards exist at an organizational or project level, it is a finding.
 
2) If documented coding standards are not being followed, it is a finding.
 
3) If there is no documented list of unsafe functions, or the coding standards do not document that there are no unsafe functions (for that particular language), it is a finding."
V-27173,medium,Applications designed to address malware issues and/or enforce policy pertaining to organizational use of mobile code must implement detection and inspection mechanisms to identify unauthorized mobile code,"Decisions regarding the employment of mobile code within organizational information systems are based on the potential for the code to cause damage to the system if used maliciously. 

Mobile code technologies include:  Java, JavaScript, ActiveX, PDF, Postscript, Shockwave movies, Flash animations, and VBScript. Usage restrictions and implementation guidance apply to both the selection and use of mobile code installed on organizational servers and mobile code downloaded and executed on individual workstations. 

Policy and procedures related to mobile code, address preventing the development, acquisition, or introduction of unacceptable mobile code within the information system. ",None,SV-34472r1_rule,None,None,None,None
V-27019,medium,Applications must recognize only system-generated session identifiers.,"This requirement focuses on communications protection at the application session, versus network packet level. The intent of this control is to establish grounds for confidence at each end of a communications session in the ongoing identity of the other party and in the validity of the information being transmitted. 

Unique session IDs are the opposite of sequentially generated session IDs which can be easily guessed by an attacker.  Unique session identifiers help to reduce predictability of said identifiers.  

Unique session IDs address man-in-the-middle attacks including session hijacking or insertion of false information into a session.  If the attacker is unable to identify or guess the session information related to pending application traffic, they will have more difficulty in hijacking the session or otherwise manipulating valid sessions.",None,SV-34313r1_rule,None,None,None,None
V-6137,medium,"The designer will ensure the application uses the Federal Information Processing Standard (FIPS) 140-2 validated cryptographic modules and random number generator if the application implements encryption, key exchange, digital signature, and hash functionality.


","Unapproved cryptographic module algorithms cannot be verified, and cannot be relied upon to provide confidentiality or integrity and DoD data may be compromised due to weak algorithms.","['DCNR-1', 'ECCR-1', 'ECCR-2', 'ECCT-1', 'ECCT-2']",SV-6137r1_rule,F-16997r1_fix,"Utilize FIPS 140-2 cryptography for modules implementing encryption, key exchange, digital signature, and hash. ",C-2948r1_chk,"If the application does not utilize encryption, key exchange, digital signature, or hash, FIPS 140-2 cryptography is not required and this check is not applicable.  

Identify all application or supporting infrastructure features that require cryptography such as, file encryption, VPN, SSH, etc.  Verify the application is using FIPS-140 validated cryptographic modules.

The National Institute of Standards and Technology’s FIPS 140-1 and FIPS 140-2 Vendor List is located at: http://csrc.nist.gov/cryptval/.  

1) If the application requiring encryption, key exchange, digital signature or hash is using an unapproved module or no module, it is a finding.  

2) If the application utilizes unapproved modules for cryptographic random number generation, it is a finding. 
 
Note: If the application uses WS Security tokens, W3C XML Signature can be used to digitally sign messages and provide message integrity."
