CISQ identifier,Descriptor,Remediation
ASCRM-RLB-14,Parent class referencing child class ,"Remove instances where a parent class has a reference to one of its child classes, directly or indirectly via its methods and fields"
ASCRM-RLB-15,Class with virtual method missing destructor,"Remove instances where a class contains a virtual method, yet the class does not declare any virtual destructor "
ASCRM-RLB-16,Parent class missing virtual destructo,"Remove instances where, for languages in which custom destructors can be written, the parent has no virtual destructor"
ASCRM-RLB-17,Child class missing virtual destructor ,"Remove instances where, for languages in which custom destructors can be written, the child class does not have its own virtual destructor, while its parent class has a virtual destructor "
ASCRM-RLB-18,Hard-coded network resource information,"Remove instances where a variable, field, member, etc. is initialized with a hard-coded network resource identification information "
ASCRM-RLB-19,Synchronous call missing timeout ,Remove instances where a synchronous call is initiated but the time-out argument is not set or is set to infinite time
ASCPEM-PRF-1 ,Static block initialization ,"Remove instances where a variable, field, member, etc. is initialized in a static block of code"
ASCPEM-PRF-2,Immutable text data,"Remove instances where a function, method, procedure, stored procedure, sub-routine, etc., creates immutable text data via a string concatenation (which could be avoided by using text buffer instead) "
ASCPEM-PRF-3,Static data outside of singleton class ,Remove instances where a static field or member is declared as static but its parent class is not a singleton class; it does not account for final static fields or members 
ASCPEM-PRF-4,Complex read/write access,"Remove instances where a very large table, that is, whose number of rows exceeds a threshold value (default is 1,000,000 rows), is accessed by a SQL statement with too many joins (default threshold value for the maximum number of joins is 5), and too many sub-queries (default threshold value for the maximum number of sub-queries is 3). "
ASCPEM-PRF-5,Incorrect indices,Remove instances where the syntax of the SQL SELECT statement and the index configuration of the SQL table or SQL view causes the DBMS to run sequential searches
ASCPEM-PRF-6,Excessive number of indices on large tables,"Remove instance where a very large table, that is, whose number of rows exceeds a threshold value (default is 1,000,000 rows), has too many indices (default threshold value for the maximum number of indices is 3) "
ASCPEM-PRF-7,Excessively large indices on large tables ,"Remove instances where a very large table, that is, whose number of rows exceeds a threshold value (default is 1,000,000 rows), has an index whose size is too large (default threshold value for the index range is 10) "
ASCPEM-PRF-8,Resource-consuming operation in loop,"Remove instances where an operation causing consumption of platform resource (messaging, lock, file, stream, directory, etc.) is directly or indirectly called within a loop body or within a loop condition "
ASCPEM-PRF-9,Excessive data queries in non-stored procedure ,Remove instances where a server-side non-stored procedure contains too many data queries (default value for the maximum number of data queries is 5) 
ASCPEM-PRF-10,Excessive data queries in client-side code ,"Remove instances where a client-side function, method, sub-routine, etc., contains too many data queries (default value for the maximum number of data queries is 2)."
ASCPEM-PRF-11,Data access circumventing data manager ,"Remove instances where a function, method, procedure, stored procedure, sub-routine, etc. accesses data without going a dedicated data manager component (as identified in the vetted data access component list), thus circumventing the authorized data access procedures"
ASCPEM-PRF-12,Excessively large data element,"Remove instances where a variable, field, member, etc., is an aggregate of too many (non-primitive) data types (default value for the maximum number of aggregated non-primitive types is 5) "
ASCPEM-PRF-13,Data access not using connection pool,"Remove instances where a function, method, procedure, stored procedure, sub-routine, etc. executes a data resource management action without using a connection pooling capability (the usage of a connection pooling capability is technology dependent; for example, connection pooling is disabled with the addition of 'Pooling=false' to the connection string with ADO.NET or the value of a 'com.sun.jndi.ldap.connect.pool' environment parameter in Java) "
ASCPEM-PRF-14,Unreleased memory,"Remove instances where a memory resource is explicitly allocated to a variable, field, member, etc.  which is used throughout the application, but is never released."
ASCPEM-PRF-15,Unreleased data,"Remove instances where a method references an object, without ever de-referencing it"
ASCMM-MNT-1 ,Control transferred outside of switch statement ,"Remove instances where the control flow is transferred outside a switch statement (e.g., depending on the technology, by using 'go to', 'continue', or 'break' statements) "
ASCMM-MNT-2,Excessive inheritance from concrete classes,Remove instances where a class inherits from too many concrete classes (default threshold value for the maximum number of concrete class Inheritances is 1). 
ASCMM-MNT-3,Hard-coded literals,"Remove instances where a literal value is used to initialize a variable, field, member, etc. (exceptions are simple integers and a static constant variable, field, member, etc.) "
ASCMM-MNT-4,Excessive coupling,"Remove instances where a function, method, procedure, stored procedure, sub-routine, etc. has a Fan-Out value that is too large, that is, with too many references to other objects within the application. (default threshold value for the maximum number of references to other objects within the application is 5) "
ASCMM-MNT-5,Condition value update within loop,"Remove instances where a value of a local variable, field, member, etc. used in the condition of a loop is updated within the loop body"
ASCMM-MNT-6,Excessive commented-out code,"Remove instances where a function, method, procedure, stored procedure, sub-routine, etc. contains too much commented-out code (default threshold value for the maximum percentage of commented-out instructions is 2%). "
ASCMM-MNT-7,Circular dependencies among modules ,"Remove instances where a module has references that cycle back to itself (for example, in JAVA this pattern means cycles between packages)"
ASCMM-MNT-8,Excessively large file,Remove instances where a file has too many lines of code (default threshold value for the maximum number of lines of code is 1000) 
ASCMM-MNT-9,Too many/few horizontal layers ,"Remove instances where a model of the architectural layers of an application contains too may or too few horizontal layers (excluding the vertical utility layers) based on comparison to a threshold value.  The default threshold value for the minimal number of horizontal layers is 4, and the default value for maximal number of horizontal layers is 8. Note: • This is a ‘control’ on the architectural model used in ASCMM-MNT-10 and ASCMM-MNT-12 to avoid defining a model designed to ‘pass’ these other weaknesses "
ASCMM-MNT-10,Layer-spanning component ,"Remove instances where a function, method, procedure, stored procedure, sub-routine, etc. is part of two architectural layers as defined in a model of the application’s architectural layers "
ASCMM-MNT-11,Excessive cyclomatic complexity ,"Remove instances where a function, method, procedure, stored procedure, sub-routine, etc. has a Cyclomatic Complexity that is too large (default threshold value for maximum Cyclomatic Complexity is 20)"
ASCMM-MNT-12,Layer-skipping calls,"Remove instances where a function, method, procedure, stored procedure, sub-routine, etc. from a higher horizontal layer directly calls a function, method, procedure, stored procedure, sub-routine, etc. in a lower horizontal layer that is not adjacent to the upper layer making the call, as defined in a model of the application’s architectural layers (this excludes the vertical utility layers that can be referenced from any horizontal layer) "
ASCMM-MNT-13,Excessive parameterization,"Remove instances where a function, method, procedure, stored procedure, sub-routine, etc. has too many parameters in its signature (default threshold value for the maximum number of parameters is 7) "
ASCMM-MNT-14,Control element with excessive data operations,"Remove instances where a function, method, procedure, stored procedure, sub-routine, etc. has too many SQL or file operations (default threshold value for the maximum number of SQL or file operations is 7) "
ASCMM-MNT-15,Public data element,"Remove instances where a variable, field, member, etc. is declared as public"
ASCMM-MNT-16,Cross element data access ,"Remove instances where a method from a class accesses a field, or member from another class "
ASCMM-MNT-17,Excessive inheritance levels ,Remove instances where a class inheritance level is too large (default threshold value for maximum Inheritance levels is 7) 
ASCMM-MNT-18,Excessive child classes ,Remove instances where the class number of children of a class is too large (default threshold value for maximum number of children of a class is 10) 
ASCMM-MNT-19,Element redundancy,"Remove instances of copy-paste between functions, methods, procedures, stored procedures, sub-routines, etc. "
ASCMM-MNT-20,Dead code,Number of instances where a function or method is unreferenced by any other code item in the application (the application determines the scope of the search for code items that could call a function or method element)
